,Results,Prediction,Accuracy,,236/480
291,gerald,gerald,0.99993455,Match,
292,gerald,gerald,0.9998926,Match,
293,gerald,alan,0.7264195,Nope,
294,gerald,alan,0.9865166,Nope,
295,gerald,gerald,0.8258586,Match,
296,gerald,gerald,0.7903532,Match,
297,gerald,gerald,0.9999268,Match,
298,gerald,gerald,0.7009101,Match,
299,gerald,alan,0.999974,Nope,
300,gerald,gerald,0.9999161,Match,
301,gerald,alan,0.9999685,Nope,
302,gerald,alan,0.7120187,Nope,
303,gerald,gerald,0.9945511,Match,
304,gerald,alan,0.84451205,Nope,
305,gerald,alan,0.9999763,Nope,
306,gerald,gerald,0.999923,Match,
307,gerald,gerald,0.8079781,Match,
308,gerald,gerald,0.89298964,Match,
309,gerald,gerald,0.9999403,Match,
310,gerald,gerald,0.997523,Match,
311,gerald,alan,0.9959636,Nope,
312,gerald,gerald,0.9998204,Match,
313,gerald,alan,0.99996686,Nope,
314,gerald,jc,0.77622455,Nope,
315,gerald,gerald,0.9192856,Match,
316,gerald,gerald,0.77667147,Match,
317,gerald,alan,0.99994385,Nope,
318,gerald,gerald,0.9999325,Match,
319,gerald,gerald,0.50950015,Match,
320,gerald,alan,0.7750743,Nope,
321,gerald,gerald,0.99994206,Match,
322,gerald,gerald,0.99993134,Match,
323,gerald,gerald,0.7941837,Match,
324,gerald,gerald,0.9999299,Match,
325,gerald,alan,0.7515221,Nope,
326,gerald,alan,0.8614935,Nope,
327,gerald,gerald,0.9968323,Match,
328,gerald,gerald,0.85036933,Match,
329,gerald,gerald,0.99994075,Match,
330,gerald,gerald,0.9999287,Match,
331,gerald,alan,0.88121367,Nope,
332,gerald,alan,0.8522965,Nope,
333,gerald,gerald,0.9999379,Match,
334,gerald,gerald,0.95610076,Match,
335,gerald,gerald,0.99994063,Match,
336,jc,jc,0.9956203,Match,
337,jc,jc,0.5698323,Match,
338,jc,bryce,0.5835462,Nope,
339,jc,jc,0.9996884,Match,
340,jc,jc,0.999881,Match,
341,jc,bryce,0.98874927,Nope,
342,jc,jc,0.9218527,Match,
343,jc,alan,0.9999094,Nope,
344,jc,qk,0.9979803,Nope,
345,jc,jc,0.9885922,Match,
346,jc,jc,0.99987566,Match,
347,jc,bryce,0.93805265,Nope,
348,jc,qk,0.75481445,Nope,
349,jc,chris,0.5219425,Nope,
350,jc,qk,0.575242,Nope,
351,jc,jc,0.99965096,Match,
352,jc,jc,0.9998766,Match,
353,jc,bryce,0.88821304,Nope,
354,jc,jc,0.583122,Match,
355,jc,gerald,0.9933303,Nope,
356,jc,jc,0.9993412,Match,
357,jc,jc,0.9997366,Match,
358,jc,jc,0.99928963,Match,
359,jc,jc,0.5819234,Match,
360,jc,qk,0.71230483,Nope,
361,jc,bryce,0.37060156,Nope,
362,jc,jc,0.9975165,Match,
363,jc,jc,0.99572456,Match,
364,jc,jc,0.99988365,Match,
365,jc,bryce,0.9704128,Nope,
366,jc,qk,0.41459423,Nope,
367,jc,chris,0.67100006,Nope,
368,jc,jc,0.9975822,Match,
369,jc,alan,0.5681283,Nope,
370,jc,jc,0.9998776,Match,
371,jc,bryce,0.6712512,Nope,
372,jc,jc,0.9994622,Match,
373,jc,jc,0.79552346,Match,
374,jc,jc,0.99984765,Match,
375,jc,jc,0.81503415,Match,
376,jc,jc,0.7022788,Match,
377,jc,jc,0.9998568,Match,
378,jc,qk,0.6110192,Nope,
379,jc,gerald,0.9995136,Nope,
380,jc,jc,0.99007964,Match,
381,jc,jc,0.657122,Match,
382,jc,bryce,0.99389786,Nope,
383,jc,jc,0.99963534,Match,
384,jonah,cy,0.37933904,Nope,
385,jonah,jonah,0.69600123,Match,
386,jonah,cy,0.8039211,Nope,
387,jonah,chris,0.7806792,Nope,
388,jonah,chris,0.99991715,Nope,
389,jonah,adhy,0.99982387,Nope,
390,jonah,jc,0.6785134,Nope,
391,jonah,chris,0.69489014,Nope,
392,jonah,jonah,0.99975616,Match,
393,jonah,chris,0.6618306,Nope,
394,jonah,chris,0.99982893,Nope,
395,jonah,adhy,0.9987513,Nope,
396,jonah,jonah,0.9973826,Match,
397,jonah,jonah,0.7266483,Match,
398,jonah,cy,0.8796033,Nope,
399,jonah,jonah,0.8425143,Match,
400,jonah,chris,0.98796916,Nope,
401,jonah,adhy,0.95829177,Nope,
402,jonah,chris,0.68822986,Nope,
403,jonah,jonah,0.9317051,Match,
404,jonah,jonah,0.56249195,Match,
405,jonah,bryce,0.8400461,Nope,
406,jonah,chris,0.9137086,Nope,
407,jonah,adhy,0.9998288,Nope,
408,jonah,jonah,0.9064478,Match,
409,jonah,jonah,0.9978389,Match,
410,jonah,jonah,0.67865586,Match,
411,jonah,jonah,0.99905354,Match,
412,jonah,jonah,0.99695075,Match,
413,jonah,adhy,0.98408175,Nope,
414,jonah,chris,0.9999244,Nope,
415,jonah,qk,0.41051343,Nope,
416,jonah,cy,0.41659078,Nope,
417,jonah,cy,0.58461547,Nope,
418,jonah,chris,0.9999337,Nope,
419,jonah,adhy,0.99988115,Nope,
420,jonah,chris,0.9997603,Nope,
421,jonah,jonah,0.6443142,Match,
422,jonah,jc,0.6451704,Nope,
423,jonah,jonah,0.87123305,Match,
424,jonah,jonah,0.6685938,Match,
425,jonah,chris,0.9761761,Nope,
426,jonah,qk,0.9456238,Nope,
427,jonah,qk,0.93344367,Nope,
428,jonah,jc,0.8669505,Nope,
429,jonah,jonah,0.87578154,Match,
430,jonah,jonah,0.9998702,Match,
431,jonah,adhy,0.9460318,Nope,
432,qk,jonah,0.9999578,Nope,
433,qk,jonah,0.88929814,Nope,
434,qk,jonah,0.8593892,Nope,
435,qk,qk,0.9860416,Match,
436,qk,jonah,0.7891173,Nope,
437,qk,bryce,0.9250198,Nope,
438,qk,jonah,0.99995255,Nope,
439,qk,jonah,0.6981689,Nope,
440,qk,jonah,0.987104,Nope,
441,qk,qk,0.99896455,Match,
442,qk,jonah,0.9991742,Nope,
443,qk,bryce,0.6380107,Nope,
444,qk,jonah,0.9035885,Nope,
445,qk,jonah,0.99920815,Nope,
446,qk,jonah,0.9998611,Nope,
447,qk,qk,0.6148937,Match,
448,qk,jc,0.89044225,Nope,
449,qk,jonah,0.99038374,Nope,
450,qk,gerald,0.8472214,Nope,
451,qk,adhy,0.47384623,Nope,
452,qk,jonah,0.99991834,Nope,
453,qk,qk,0.99959487,Match,
454,qk,jonah,0.9902228,Nope,
455,qk,jonah,0.56287956,Nope,
456,qk,bryce,0.91903734,Nope,
457,qk,chris,0.8236443,Nope,
458,qk,jonah,0.9999448,Nope,
459,qk,jonah,0.9939919,Nope,
460,qk,jonah,0.9955297,Nope,
461,qk,bryce,0.99724764,Nope,
462,qk,bryce,0.9984138,Nope,
463,qk,chris,0.9711311,Nope,
464,qk,jonah,0.99219924,Nope,
465,qk,jonah,0.99124205,Nope,
466,qk,jc,0.7512209,Nope,
467,qk,bryce,0.99762577,Nope,
468,qk,jonah,0.93899316,Nope,
469,qk,jonah,0.99966526,Nope,
470,qk,jonah,0.9872278,Nope,
471,qk,jonah,0.9960782,Nope,
472,qk,jonah,0.9999274,Nope,
473,qk,jonah,0.8731922,Nope,
474,qk,bryce,0.8438019,Nope,
475,qk,chris,0.896174,Nope,
476,qk,jonah,0.99995375,Nope,
477,qk,jonah,0.91271764,Nope,
478,qk,jonah,0.8539388,Nope,
479,qk,qk,0.99987984,Match,
