,Results,Prediction,Accuracy,"adhy, alan, cy 108/140"
84,alan,andy,0.65940946,Nope
85,alan,bryce,0.9959794,Nope
86,alan,bryce,0.99978405,Nope
87,alan,bryce,0.9838171,Nope
88,alan,andy,0.65915334,Nope
89,alan,bryce,0.9944582,Nope
90,alan,andy,0.89781183,Nope
91,alan,bryce,0.7999209,Nope
92,alan,bryce,0.9997682,Nope
93,alan,bryce,0.56583095,Nope
94,alan,cy,0.9838166,Nope
95,alan,bryce,0.6886325,Nope
96,andy,andy,0.9998977,Match
97,andy,andy,0.9998982,Match
98,andy,andy,0.9998988,Match
99,andy,andy,0.99989843,Match
100,andy,andy,0.99989855,Match
101,andy,andy,0.9998981,Match
102,andy,andy,0.999897,Match
103,andy,andy,0.9998975,Match
104,andy,andy,0.99989843,Match
105,andy,andy,0.9998981,Match
106,andy,andy,0.9998983,Match
107,andy,andy,0.9998971,Match
108,andy,andy,0.99989736,Match
109,andy,andy,0.999895,Match
110,andy,andy,0.99989843,Match
111,andy,andy,0.9998983,Match
112,andy,andy,0.9998971,Match
113,andy,andy,0.9998845,Match
114,andy,andy,0.9998983,Match
115,andy,andy,0.9998977,Match
116,andy,andy,0.9998987,Match
117,andy,andy,0.9998983,Match
118,andy,andy,0.99989855,Match
119,andy,andy,0.9998976,Match
120,andy,andy,0.99989855,Match
121,andy,andy,0.99989843,Match
122,andy,andy,0.9998981,Match
123,andy,andy,0.99989855,Match
124,andy,andy,0.99989843,Match
125,andy,andy,0.99989843,Match
126,andy,andy,0.99989843,Match
127,andy,andy,0.9998981,Match
128,andy,andy,0.9998981,Match
129,andy,andy,0.9998982,Match
130,andy,andy,0.9998987,Match
131,andy,andy,0.9998983,Match
132,andy,andy,0.99989855,Match
133,andy,andy,0.9998983,Match
134,andy,andy,0.9998976,Match
135,andy,andy,0.99989843,Match
136,andy,andy,0.99989855,Match
137,andy,andy,0.99989855,Match
138,andy,andy,0.99989796,Match
139,andy,andy,0.9998971,Match
140,andy,andy,0.99989426,Match
141,andy,andy,0.99989665,Match
142,andy,andy,0.99989843,Match
143,andy,andy,0.9998983,Match
144,bryce,cy,0.9704161,Nope
145,bryce,andy,0.99831545,Nope
146,bryce,cy,0.99975175,Nope
147,bryce,andy,0.99988806,Nope
148,bryce,andy,0.58908397,Nope
149,bryce,cy,0.99978715,Nope
150,bryce,bryce,0.9997228,Match
151,bryce,bryce,0.9951746,Match
152,bryce,cy,0.80783796,Nope
153,bryce,andy,0.99636036,Nope
154,bryce,cy,0.6905566,Nope
155,bryce,cy,0.9923281,Nope
156,bryce,cy,0.999813,Nope
157,bryce,bryce,0.99975926,Match
158,bryce,cy,0.9993604,Nope
159,bryce,andy,0.8901756,Nope
160,bryce,cy,0.9998012,Nope
161,bryce,cy,0.99977237,Nope
162,bryce,cy,0.9997886,Nope
163,bryce,bryce,0.9992312,Match
164,bryce,bryce,0.9567091,Match
165,bryce,andy,0.8878694,Nope
166,bryce,cy,0.703527,Nope
167,bryce,bryce,0.5492873,Match
168,bryce,cy,0.99981266,Nope
169,bryce,bryce,0.9895835,Match
170,bryce,cy,0.8671808,Nope
171,bryce,bryce,0.999584,Match
172,bryce,cy,0.99981135,Nope
173,bryce,cy,0.9997842,Nope
174,bryce,cy,0.96952426,Nope
175,bryce,bryce,0.67195904,Match
176,bryce,bryce,0.9995359,Match
177,bryce,bryce,0.9907086,Match
178,bryce,cy,0.86639977,Nope
179,bryce,cy,0.975653,Nope
180,bryce,cy,0.9998159,Nope
181,bryce,andy,0.5965475,Nope
182,bryce,cy,0.9435623,Nope
183,bryce,cy,0.79583764,Nope
184,bryce,cy,0.9998141,Nope
185,bryce,andy,0.99984026,Nope
186,bryce,cy,0.99981433,Nope
187,bryce,bryce,0.9245297,Match
188,bryce,cy,0.99403715,Nope
189,bryce,bryce,0.9993332,Match
190,bryce,cy,0.9996952,Nope
191,bryce,andy,0.6084834,Nope
192,chris,bryce,0.60983664,Nope
193,chris,bryce,0.55401164,Nope
194,chris,andy,0.9054247,Nope
195,chris,andy,0.9055513,Nope
196,chris,andy,0.913027,Nope
197,chris,bryce,0.8582387,Nope
198,chris,bryce,0.999765,Nope
199,chris,bryce,0.9997893,Nope
200,chris,bryce,0.9997919,Nope
201,chris,bryce,0.9994568,Nope
202,chris,bryce,0.981632,Nope
203,chris,bryce,0.73957616,Nope
204,chris,andy,0.8831807,Nope
205,chris,bryce,0.99964297,Nope
206,chris,bryce,0.5095027,Nope
207,chris,andy,0.61357903,Nope
208,chris,cy,0.47124365,Nope
209,chris,bryce,0.6466924,Nope
210,chris,andy,0.88030994,Nope
211,chris,bryce,0.9997311,Nope
212,chris,bryce,0.6440353,Nope
213,chris,bryce,0.65301585,Nope
214,chris,bryce,0.49220243,Nope
215,chris,bryce,0.96766204,Nope
216,chris,andy,0.9940806,Nope
217,chris,bryce,0.9996766,Nope
218,chris,bryce,0.6445162,Nope
219,chris,bryce,0.64202064,Nope
220,chris,andy,0.9046634,Nope
221,chris,bryce,0.8904428,Nope
222,chris,andy,0.9984975,Nope
223,chris,cy,0.47421128,Nope
224,chris,andy,0.99598914,Nope
225,chris,andy,0.93907577,Nope
226,chris,andy,0.99790466,Nope
227,chris,cy,0.9860698,Nope
228,chris,andy,0.99838114,Nope
229,chris,bryce,0.98723865,Nope
230,chris,andy,0.9160547,Nope
231,chris,andy,0.9072413,Nope
232,chris,andy,0.9958436,Nope
233,chris,andy,0.9974452,Nope
234,chris,andy,0.91186124,Nope
235,chris,bryce,0.9997241,Nope
236,chris,andy,0.6376117,Nope
237,chris,bryce,0.9883858,Nope
238,chris,andy,0.5330879,Nope
239,chris,bryce,0.5321567,Nope
240,cy,cy,0.9998159,Match
241,cy,cy,0.9998072,Match
242,cy,cy,0.9998116,Match
243,cy,cy,0.99980956,Match
244,cy,cy,0.9998135,Match
245,cy,cy,0.99981254,Match
246,cy,cy,0.9939031,Match
247,cy,cy,0.99235594,Match
248,cy,cy,0.99936575,Match
249,cy,cy,0.9902304,Match
250,cy,cy,0.700818,Match
251,cy,cy,0.9908826,Match
252,cy,cy,0.9998166,Match
253,cy,cy,0.9998148,Match
254,cy,cy,0.99981445,Match
255,cy,cy,0.9998117,Match
256,cy,cy,0.9997938,Match
257,cy,cy,0.9998086,Match
258,cy,cy,0.99981624,Match
259,cy,cy,0.999811,Match
260,cy,cy,0.9997596,Match
261,cy,cy,0.99972564,Match
262,cy,cy,0.991578,Match
263,cy,cy,0.99974495,Match
264,cy,cy,0.9998115,Match
265,cy,cy,0.9998154,Match
266,cy,cy,0.9998135,Match
267,cy,cy,0.9843886,Match
268,cy,andy,0.74287677,Nope
269,cy,cy,0.9998148,Match
270,cy,cy,0.9998056,Match
271,cy,cy,0.999816,Match
272,cy,cy,0.9998129,Match
273,cy,cy,0.9924004,Match
274,cy,cy,0.5063814,Match
275,cy,cy,0.9998155,Match
276,cy,cy,0.9998153,Match
277,cy,cy,0.99981004,Match
278,cy,cy,0.9997763,Match
279,cy,cy,0.97843605,Match
280,cy,cy,0.9998074,Match
281,cy,cy,0.9997955,Match
282,cy,cy,0.99981636,Match
283,cy,cy,0.99981314,Match
284,cy,cy,0.99980575,Match
285,cy,cy,0.9980356,Match
286,cy,cy,0.9998153,Match
287,cy,cy,0.99981433,Match
288,gerald,bryce,0.9997348,Nope
289,gerald,bryce,0.9997758,Nope
290,gerald,bryce,0.9997845,Nope
291,gerald,bryce,0.9997558,Nope
292,gerald,bryce,0.9997743,Nope
293,gerald,bryce,0.9997806,Nope
294,gerald,bryce,0.99795806,Nope
295,gerald,bryce,0.99977225,Nope
296,gerald,bryce,0.9997881,Nope
297,gerald,bryce,0.9997887,Nope
298,gerald,bryce,0.99979526,Nope
299,gerald,bryce,0.999782,Nope
300,gerald,cy,0.70444846,Nope
301,gerald,bryce,0.99946195,Nope
302,gerald,bryce,0.99974304,Nope
303,gerald,bryce,0.99975985,Nope
304,gerald,bryce,0.9997799,Nope
305,gerald,bryce,0.9997706,Nope
306,gerald,bryce,0.99963486,Nope
307,gerald,bryce,0.9996013,Nope
308,gerald,bryce,0.99978966,Nope
309,gerald,bryce,0.9997683,Nope
310,gerald,bryce,0.99977666,Nope
311,gerald,bryce,0.99977785,Nope
312,gerald,cy,0.6142128,Nope
313,gerald,bryce,0.99973434,Nope
314,gerald,bryce,0.9997681,Nope
315,gerald,bryce,0.99977916,Nope
316,gerald,bryce,0.9997745,Nope
317,gerald,bryce,0.9997664,Nope
318,gerald,bryce,0.99952865,Nope
319,gerald,bryce,0.99889034,Nope
320,gerald,bryce,0.99979216,Nope
321,gerald,bryce,0.99979705,Nope
322,gerald,bryce,0.9997942,Nope
323,gerald,bryce,0.9997837,Nope
324,gerald,bryce,0.9987134,Nope
325,gerald,bryce,0.9977998,Nope
326,gerald,bryce,0.99965334,Nope
327,gerald,bryce,0.9997904,Nope
328,gerald,bryce,0.9997917,Nope
329,gerald,bryce,0.999775,Nope
330,gerald,bryce,0.994547,Nope
331,gerald,bryce,0.6481651,Nope
332,gerald,bryce,0.90057415,Nope
333,gerald,bryce,0.9997814,Nope
334,gerald,bryce,0.9997191,Nope
335,gerald,bryce,0.9997836,Nope
336,jc,bryce,0.99929845,Nope
337,jc,cy,0.98700595,Nope
338,jc,andy,0.8821061,Nope
339,jc,bryce,0.9997936,Nope
340,jc,cy,0.9226998,Nope
341,jc,cy,0.6369221,Nope
342,jc,bryce,0.99949706,Nope
343,jc,cy,0.58337826,Nope
344,jc,andy,0.8686442,Nope
345,jc,bryce,0.99979657,Nope
346,jc,cy,0.8320352,Nope
347,jc,bryce,0.99972993,Nope
348,jc,bryce,0.9997824,Nope
349,jc,bryce,0.99979526,Nope
350,jc,bryce,0.98426497,Nope
351,jc,bryce,0.9997844,Nope
352,jc,bryce,0.99231297,Nope
353,jc,bryce,0.60635483,Nope
354,jc,bryce,0.99960214,Nope
355,jc,bryce,0.99930453,Nope
356,jc,bryce,0.6538058,Nope
357,jc,bryce,0.9997806,Nope
358,jc,cy,0.99504954,Nope
359,jc,cy,0.7904158,Nope
360,jc,bryce,0.9969849,Nope
361,jc,bryce,0.9734534,Nope
362,jc,bryce,0.99977666,Nope
363,jc,cy,0.99914,Nope
364,jc,cy,0.95140743,Nope
365,jc,cy,0.86737114,Nope
366,jc,bryce,0.999782,Nope
367,jc,bryce,0.9997764,Nope
368,jc,bryce,0.9997944,Nope
369,jc,bryce,0.997621,Nope
370,jc,bryce,0.96958387,Nope
371,jc,bryce,0.9994265,Nope
372,jc,cy,0.8088259,Nope
373,jc,andy,0.67850524,Nope
374,jc,cy,0.6832483,Nope
375,jc,cy,0.9997727,Nope
376,jc,cy,0.9575406,Nope
377,jc,bryce,0.9905059,Nope
378,jc,bryce,0.9997725,Nope
379,jc,bryce,0.9997843,Nope
380,jc,bryce,0.99977106,Nope
381,jc,cy,0.9831623,Nope
382,jc,bryce,0.7851359,Nope
383,jc,bryce,0.9997776,Nope
384,jonah,bryce,0.8276851,Nope
385,jonah,cy,0.9996222,Nope
386,jonah,cy,0.9991304,Nope
387,jonah,bryce,0.6448457,Nope
388,jonah,cy,0.501306,Nope
389,jonah,bryce,0.9997789,Nope
390,jonah,bryce,0.81009537,Nope
391,jonah,cy,0.99348795,Nope
392,jonah,cy,0.97784287,Nope
393,jonah,bryce,0.9989606,Nope
394,jonah,bryce,0.6651245,Nope
395,jonah,bryce,0.9997694,Nope
396,jonah,bryce,0.9988285,Nope
397,jonah,bryce,0.9997739,Nope
398,jonah,cy,0.9319912,Nope
399,jonah,bryce,0.99977905,Nope
400,jonah,bryce,0.9974953,Nope
401,jonah,bryce,0.999767,Nope
402,jonah,cy,0.98753136,Nope
403,jonah,bryce,0.75066537,Nope
404,jonah,cy,0.9998043,Nope
405,jonah,andy,0.99608153,Nope
406,jonah,cy,0.99979633,Nope
407,jonah,bryce,0.6324169,Nope
408,jonah,bryce,0.5368066,Nope
409,jonah,bryce,0.98457277,Nope
410,jonah,cy,0.9961371,Nope
411,jonah,cy,0.9783211,Nope
412,jonah,cy,0.9921996,Nope
413,jonah,bryce,0.99960953,Nope
414,jonah,bryce,0.6676032,Nope
415,jonah,bryce,0.999699,Nope
416,jonah,bryce,0.9718046,Nope
417,jonah,cy,0.6000446,Nope
418,jonah,bryce,0.790365,Nope
419,jonah,bryce,0.6946546,Nope
420,jonah,bryce,0.9249423,Nope
421,jonah,bryce,0.99977845,Nope
422,jonah,bryce,0.82294667,Nope
423,jonah,cy,0.99858874,Nope
424,jonah,cy,0.99946994,Nope
425,jonah,bryce,0.9724062,Nope
426,jonah,bryce,0.99975413,Nope
427,jonah,bryce,0.99978894,Nope
428,jonah,bryce,0.9924865,Nope
429,jonah,bryce,0.8173652,Nope
430,jonah,bryce,0.95624894,Nope
431,jonah,bryce,0.9973896,Nope
432,qk,andy,0.9896616,Nope
433,qk,cy,0.9996532,Nope
434,qk,bryce,0.9941712,Nope
435,qk,bryce,0.9993892,Nope
436,qk,bryce,0.74015766,Nope
437,qk,bryce,0.99977297,Nope
438,qk,andy,0.9984072,Nope
439,qk,cy,0.9788325,Nope
440,qk,bryce,0.9600322,Nope
441,qk,bryce,0.9991948,Nope
442,qk,andy,0.88038474,Nope
443,qk,bryce,0.9997441,Nope
444,qk,andy,0.79291636,Nope
445,qk,andy,0.9808023,Nope
446,qk,andy,0.9984016,Nope
447,qk,andy,0.9977162,Nope
448,qk,andy,0.99989164,Nope
449,qk,andy,0.82089984,Nope
450,qk,andy,0.874363,Nope
451,qk,cy,0.5957968,Nope
452,qk,andy,0.9965223,Nope
453,qk,andy,0.9073395,Nope
454,qk,andy,0.99972075,Nope
455,qk,bryce,0.606021,Nope
456,qk,bryce,0.99972755,Nope
457,qk,bryce,0.99960285,Nope
458,qk,andy,0.999811,Nope
459,qk,cy,0.8207988,Nope
460,qk,andy,0.91240907,Nope
461,qk,bryce,0.99962866,Nope
462,qk,bryce,0.9997813,Nope
463,qk,bryce,0.9997687,Nope
464,qk,andy,0.99395895,Nope
465,qk,cy,0.7540308,Nope
466,qk,bryce,0.63263905,Nope
467,qk,bryce,0.9997391,Nope
468,qk,andy,0.6868191,Nope
469,qk,andy,0.8985884,Nope
470,qk,andy,0.99989116,Nope
471,qk,andy,0.99340844,Nope
472,qk,andy,0.9957705,Nope
473,qk,andy,0.9847727,Nope
474,qk,bryce,0.99978656,Nope
475,qk,bryce,0.9997583,Nope
476,qk,andy,0.99510914,Nope
477,qk,cy,0.97699547,Nope
478,qk,bryce,0.99659246,Nope
479,qk,bryce,0.999629,Nope
