,Results,Prediction,Accuracy,
262,jc,ch,0.97889644,Nope
263,jc,ch,0.9997315,Nope
264,jc,azfar,0.68365324,Nope
265,jc,ch,0.6020577,Nope
266,jc,ch,0.8464028,Nope
267,jc,ch,0.90119654,Nope
268,jc,ch,0.8997822,Nope
269,jc,ch,0.99782526,Nope
270,jc,ch,0.999724,Nope
271,jc,ch,0.9997092,Nope
272,jc,ch,0.9996996,Nope
273,jc,ch,0.9996989,Nope
274,jc,ch,0.99942493,Nope
275,jc,ch,0.9997292,Nope
276,jc,ch,0.9300128,Nope
277,jc,ch,0.9907569,Nope
278,jc,ch,0.9973189,Nope
279,jc,ch,0.976396,Nope
280,jc,ch,0.9194966,Nope
281,jc,ch,0.96439064,Nope
282,jc,ch,0.9989237,Nope
283,jc,ch,0.9995974,Nope
284,jc,ch,0.9996853,Nope
285,jc,ch,0.999608,Nope
286,jc,ch,0.99812764,Nope
287,jc,ch,0.9997143,Nope
288,jonah,azfar,0.5001885,Nope
289,jonah,ch,0.97607136,Nope
290,jonah,azfar,0.9902018,Nope
291,jonah,ch,0.9419173,Nope
292,jonah,ch,0.9970342,Nope
293,jonah,azfar,0.8185052,Nope
294,jonah,azfar,0.9107556,Nope
295,jonah,ch,0.8838636,Nope
296,jonah,azfar,0.9977848,Nope
297,jonah,ch,0.7698215,Nope
298,jonah,ch,0.98971564,Nope
299,jonah,azfar,0.98848236,Nope
300,jonah,ch,0.60616815,Nope
301,jonah,azfar,0.98615557,Nope
302,jonah,azfar,0.9688621,Nope
303,jonah,ch,0.9622046,Nope
304,jonah,andy,0.588566,Nope
305,jonah,azfar,0.7623546,Nope
306,jonah,ch,0.89604187,Nope
307,jonah,azfar,0.5301872,Nope
308,jonah,andy,0.6349678,Nope
309,jonah,ch,0.9726309,Nope
310,jonah,ch,0.93304837,Nope
311,jonah,ch,0.6438762,Nope
312,jonah,azfar,0.5760921,Nope
313,jonah,azfar,0.9933478,Nope
314,jonah,andy,0.7668899,Nope
315,jonah,andy,0.9660315,Nope
316,jonah,andy,0.6224513,Nope
317,jonah,azfar,0.92300326,Nope
318,jonah,ch,0.8753512,Nope
319,jonah,azfar,0.5646948,Nope
320,jonah,ch,0.52645946,Nope
321,jonah,andy,0.6237185,Nope
322,jonah,ch,0.9729801,Nope
323,jonah,ch,0.64279824,Nope
324,jonah,ch,0.9781497,Nope
325,jonah,ch,0.6324187,Nope
326,jonah,andy,0.8543299,Nope
327,jonah,andy,0.64831656,Nope
328,jonah,andy,0.76187545,Nope
329,jonah,ch,0.9506817,Nope
330,jonah,azfar,0.6137125,Nope
331,jonah,azfar,0.99549377,Nope
332,jonah,azfar,0.7673409,Nope
333,jonah,ch,0.9061516,Nope
334,jonah,azfar,0.9968911,Nope
335,jonah,ch,0.8441864,Nope
336,qikai,andy,0.98986804,Nope
337,qikai,andy,0.9996289,Nope
338,qikai,ch,0.9997284,Nope
339,qikai,andy,0.9984059,Nope
340,qikai,andy,0.9478864,Nope
341,qikai,andy,0.99934703,Nope
342,qikai,ch,0.9994733,Nope
343,qikai,ch,0.9814222,Nope
344,qikai,ch,0.99972814,Nope
345,qikai,ch,0.9985039,Nope
346,qikai,ch,0.9990945,Nope
347,qikai,ch,0.99915874,Nope
348,qikai,andy,0.9899762,Nope
349,qikai,ch,0.9947366,Nope
350,qikai,ch,0.9997273,Nope
351,qikai,andy,0.5989453,Nope
352,qikai,ch,0.995492,Nope
353,qikai,andy,0.8898588,Nope
354,qikai,andy,0.9996456,Nope
355,qikai,andy,0.8194401,Nope
356,qikai,ch,0.9997292,Nope
357,qikai,andy,0.9984439,Nope
358,qikai,andy,0.98732555,Nope
359,qikai,andy,0.9994665,Nope
360,qikai,ch,0.9997278,Nope
361,qikai,ch,0.9997212,Nope
362,qikai,ch,0.9997247,Nope
363,qikai,ch,0.9997309,Nope
364,qikai,ch,0.99972135,Nope
365,qikai,ch,0.9997292,Nope
366,qikai,andy,0.99823135,Nope
367,qikai,ch,0.9947344,Nope
368,qikai,andy,0.57781017,Nope
369,qikai,andy,0.9984384,Nope
370,qikai,ch,0.9755704,Nope
371,qikai,andy,0.95388645,Nope
372,qikai,andy,0.63913834,Nope
373,qikai,ch,0.9963104,Nope
374,qikai,ch,0.9979583,Nope
375,qikai,andy,0.900857,Nope
376,qikai,ch,0.9997261,Nope
377,qikai,ch,0.9930137,Nope
378,qikai,andy,0.9984352,Nope
379,qikai,ch,0.99409854,Nope
380,qikai,andy,0.5844286,Nope
381,qikai,andy,0.99932754,Nope
382,qikai,ch,0.99972826,Nope
383,qikai,andy,0.9483314,Nope
384,ys,azfar,0.998128,Nope
385,ys,ch,0.6753932,Nope
386,ys,ch,0.8880813,Nope
387,ys,azfar,0.9937052,Nope
388,ys,ch,0.9997255,Nope
389,ys,ch,0.8563192,Nope
390,ys,azfar,0.99806756,Nope
391,ys,ch,0.93838894,Nope
392,ys,ch,0.98066115,Nope
393,ys,azfar,0.55863804,Nope
394,ys,ch,0.99972934,Nope
395,ys,ch,0.988744,Nope
396,ys,azfar,0.9981451,Nope
397,ys,azfar,0.9974897,Nope
398,ys,azfar,0.9977035,Nope
399,ys,azfar,0.9981427,Nope
400,ys,ch,0.9012523,Nope
401,ys,azfar,0.99806875,Nope
402,ys,azfar,0.9192657,Nope
403,ys,ch,0.9491018,Nope
404,ys,azfar,0.50148356,Nope
405,ys,azfar,0.90448546,Nope
406,ys,ch,0.9997272,Nope
407,ys,ch,0.59204745,Nope
408,ys,azfar,0.8720867,Nope
409,ys,ch,0.92481893,Nope
410,ys,azfar,0.99812967,Nope
411,ys,azfar,0.6165541,Nope
412,ys,ch,0.99972755,Nope
413,ys,ch,0.61491364,Nope
414,ys,azfar,0.9979043,Nope
415,ys,azfar,0.8978926,Nope
416,ys,azfar,0.9981462,Nope
417,ys,azfar,0.99613225,Nope
418,ys,ch,0.99892384,Nope
419,ys,azfar,0.9679767,Nope
420,ys,ch,0.99953544,Nope
421,ys,ch,0.9997284,Nope
422,ys,ch,0.9048677,Nope
423,ys,ch,0.99972266,Nope
424,ys,ch,0.9997247,Nope
425,ys,ch,0.9996692,Nope
426,ys,azfar,0.9750022,Nope
427,ys,ch,0.89377916,Nope
428,ys,azfar,0.99813616,Nope
429,ys,azfar,0.70001245,Nope
430,ys,azfar,0.6576516,Nope
431,ys,azfar,0.82818395,Nope
432,zen,azfar,0.52746737,Nope
433,zen,ch,0.99467623,Nope
434,zen,ch,0.99602854,Nope
435,zen,ch,0.9574279,Nope
436,zen,ch,0.99920267,Nope
437,zen,azfar,0.9981402,Nope
438,zen,azfar,0.8898719,Nope
439,zen,ch,0.9278855,Nope
440,zen,ch,0.9603568,Nope
441,zen,ch,0.65437883,Nope
442,zen,ch,0.99298894,Nope
443,zen,azfar,0.99813807,Nope
444,zen,azfar,0.9980546,Nope
445,zen,azfar,0.9946261,Nope
446,zen,ch,0.98155195,Nope
447,zen,ch,0.8776887,Nope
448,zen,ch,0.9872771,Nope
449,zen,azfar,0.99814284,Nope
450,zen,ch,0.7948168,Nope
451,zen,ch,0.9128571,Nope
452,zen,ch,0.9994925,Nope
453,zen,ch,0.9989272,Nope
454,zen,ch,0.9997267,Nope
455,zen,azfar,0.98044306,Nope
456,zen,ch,0.587076,Nope
457,zen,ch,0.88032573,Nope
458,zen,azfar,0.57952935,Nope
459,zen,ch,0.9992586,Nope
460,zen,ch,0.9997274,Nope
461,zen,azfar,0.97467536,Nope
462,zen,ch,0.7038121,Nope
463,zen,ch,0.8534386,Nope
464,zen,ch,0.7066643,Nope
465,zen,ch,0.9977163,Nope
466,zen,ch,0.99972695,Nope
467,zen,azfar,0.9902041,Nope
468,zen,ch,0.9987263,Nope
469,zen,ch,0.9996966,Nope
470,zen,ch,0.9849191,Nope
471,zen,ch,0.9997271,Nope
472,zen,ch,0.9997278,Nope
473,zen,ch,0.9997265,Nope
474,zen,azfar,0.9981457,Nope
475,zen,azfar,0.99800557,Nope
476,zen,azfar,0.9981382,Nope
477,zen,azfar,0.9979138,Nope
478,zen,azfar,0.997414,Nope
479,zen,azfar,0.9933861,Nope
