,Results,Prediction,Accuracy,"ch, cy, gerald 104/144"
130,ch,ch,0.9921286,Match
131,ch,gerald,0.94609106,Nope
132,ch,ch,0.99510163,Match
133,ch,ch,0.99890983,Match
134,ch,ch,0.9989538,Match
135,ch,ch,0.996885,Match
136,ch,ch,0.99886787,Match
137,ch,ch,0.9989792,Match
138,ch,ch,0.8355573,Match
139,ch,ch,0.9989532,Match
140,ch,ch,0.8675185,Match
141,ch,ch,0.89242285,Match
142,ch,ch,0.9677376,Match
143,ch,ch,0.9349653,Match
144,cy,cy,0.97081596,Match
145,cy,cy,0.9564476,Match
146,cy,cy,0.9441731,Match
147,cy,cy,0.9949126,Match
148,cy,cy,0.87803173,Match
149,cy,cy,0.99042434,Match
150,cy,ch,0.5477089,Nope
151,cy,ch,0.511787,Nope
152,cy,ch,0.6889,Nope
153,cy,cy,0.98056084,Match
154,cy,ch,0.9601809,Nope
155,cy,cy,0.9295266,Match
156,cy,cy,0.9248539,Match
157,cy,cy,0.54727435,Match
158,cy,ch,0.99658966,Nope
159,cy,cy,0.88872623,Match
160,cy,ch,0.9986727,Nope
161,cy,ch,0.55780566,Nope
162,cy,cy,0.8970944,Match
163,cy,ch,0.70864165,Nope
164,cy,ch,0.9988697,Nope
165,cy,cy,0.5672839,Match
166,cy,ch,0.9989907,Nope
167,cy,ch,0.7943695,Nope
168,cy,cy,0.9052758,Match
169,cy,ch,0.6834307,Nope
170,cy,ch,0.99804485,Nope
171,cy,ch,0.99820626,Nope
172,cy,ch,0.9989668,Nope
173,cy,ch,0.7394377,Nope
174,cy,cy,0.99440116,Match
175,cy,cy,0.9768793,Match
176,cy,cy,0.90207535,Match
177,cy,cy,0.8601732,Match
178,cy,ch,0.6854959,Nope
179,cy,cy,0.9501526,Match
180,cy,cy,0.65869373,Match
181,cy,ch,0.92357224,Nope
182,cy,gerald,0.7165215,Nope
183,cy,ch,0.99894685,Nope
184,cy,ch,0.9989543,Nope
185,cy,ch,0.752096,Nope
186,cy,cy,0.99113935,Match
187,cy,cy,0.9584531,Match
188,cy,cy,0.58778566,Match
189,cy,cy,0.58464336,Match
190,cy,ch,0.5938661,Nope
191,cy,cy,0.98410356,Match
192,gerald,gerald,0.7242881,Match
193,gerald,gerald,0.9999832,Match
194,gerald,gerald,0.99998343,Match
195,gerald,gerald,0.9999838,Match
196,gerald,gerald,0.99998367,Match
197,gerald,gerald,0.99998367,Match
198,gerald,ch,0.94813925,Nope
199,gerald,gerald,0.99946016,Match
200,gerald,gerald,0.9996985,Match
201,gerald,gerald,0.99998367,Match
202,gerald,gerald,0.9999832,Match
203,gerald,gerald,0.9999795,Match
204,gerald,gerald,0.99845505,Match
205,gerald,gerald,0.59474415,Match
206,gerald,ch,0.5466167,Nope
207,gerald,gerald,0.9993063,Match
208,gerald,gerald,0.99948776,Match
209,gerald,gerald,0.8675673,Match
210,gerald,gerald,0.9999833,Match
211,gerald,gerald,0.9997676,Match
212,gerald,gerald,0.99935097,Match
213,gerald,gerald,0.99998367,Match
214,gerald,gerald,0.9999831,Match
215,gerald,gerald,0.9999769,Match
216,gerald,gerald,0.99998295,Match
217,gerald,gerald,0.9995121,Match
218,gerald,ch,0.9825789,Nope
219,gerald,gerald,0.9985306,Match
220,gerald,gerald,0.999982,Match
221,gerald,gerald,0.99997044,Match
222,gerald,gerald,0.9999838,Match
223,gerald,gerald,0.9999838,Match
224,gerald,gerald,0.97689193,Match
225,gerald,gerald,0.99998367,Match
226,gerald,gerald,0.99998367,Match
227,gerald,gerald,0.9999838,Match
228,gerald,gerald,0.99998355,Match
229,gerald,gerald,0.9999833,Match
230,gerald,gerald,0.99949265,Match
231,gerald,gerald,0.9999832,Match
232,gerald,gerald,0.99998295,Match
233,gerald,gerald,0.99998355,Match
234,gerald,gerald,0.99998367,Match
235,gerald,gerald,0.9999807,Match
236,gerald,ch,0.8543637,Nope
237,gerald,gerald,0.9999747,Match
238,gerald,gerald,0.999977,Match
239,gerald,gerald,0.9999838,Match
240,jc,ch,0.9890493,Nope
241,jc,ch,0.9980288,Nope
242,jc,ch,0.9969284,Nope
243,jc,ch,0.69364595,Nope
244,jc,ch,0.9968094,Nope
245,jc,ch,0.99728525,Nope
246,jc,ch,0.99881244,Nope
247,jc,ch,0.9989281,Nope
248,jc,ch,0.99894065,Nope
249,jc,ch,0.9563845,Nope
250,jc,ch,0.9989255,Nope
251,jc,ch,0.9055006,Nope
252,jc,ch,0.99618125,Nope
253,jc,ch,0.99827075,Nope
254,jc,ch,0.9987154,Nope
255,jc,ch,0.8420048,Nope
256,jc,ch,0.9982109,Nope
257,jc,ch,0.8822263,Nope
258,jc,ch,0.9989666,Nope
259,jc,ch,0.9988655,Nope
260,jc,ch,0.99863356,Nope
261,jc,ch,0.9988304,Nope
262,jc,ch,0.99881834,Nope
263,jc,ch,0.87413776,Nope
264,jc,ch,0.9966024,Nope
265,jc,ch,0.99847084,Nope
266,jc,ch,0.99698037,Nope
267,jc,ch,0.9988374,Nope
268,jc,ch,0.99830925,Nope
269,jc,ch,0.7376817,Nope
270,jc,ch,0.8624403,Nope
271,jc,ch,0.92454803,Nope
272,jc,ch,0.8603178,Nope
273,jc,ch,0.99690646,Nope
274,jc,ch,0.9246375,Nope
275,jc,ch,0.9927267,Nope
276,jc,ch,0.81960505,Nope
277,jc,ch,0.91571105,Nope
278,jc,ch,0.7629837,Nope
279,jc,ch,0.9974406,Nope
280,jc,gerald,0.7922525,Nope
281,jc,cy,0.8802145,Nope
282,jc,ch,0.77489465,Nope
283,jc,ch,0.8313319,Nope
284,jc,gerald,0.51912594,Nope
285,jc,ch,0.8927738,Nope
286,jc,gerald,0.9801027,Nope
287,jc,ch,0.8518733,Nope
288,jonah,ch,0.8618974,Nope
289,jonah,ch,0.97950166,Nope
290,jonah,ch,0.99749327,Nope
291,jonah,ch,0.9847777,Nope
292,jonah,ch,0.8747921,Nope
293,jonah,ch,0.99887294,Nope
294,jonah,ch,0.99898213,Nope
295,jonah,ch,0.9985436,Nope
296,jonah,ch,0.9927355,Nope
297,jonah,ch,0.9230988,Nope
298,jonah,ch,0.9989403,Nope
299,jonah,ch,0.99693894,Nope
300,jonah,ch,0.99888855,Nope
301,jonah,ch,0.9987331,Nope
302,jonah,ch,0.99257565,Nope
303,jonah,ch,0.92411697,Nope
304,jonah,ch,0.9989409,Nope
305,jonah,ch,0.9968652,Nope
306,jonah,ch,0.99875534,Nope
307,jonah,ch,0.9962818,Nope
308,jonah,ch,0.91500044,Nope
309,jonah,ch,0.7269194,Nope
310,jonah,ch,0.9982937,Nope
311,jonah,ch,0.9282356,Nope
312,jonah,ch,0.9958528,Nope
313,jonah,ch,0.924539,Nope
314,jonah,ch,0.9972984,Nope
315,jonah,ch,0.923645,Nope
316,jonah,ch,0.99582434,Nope
317,jonah,ch,0.83138686,Nope
318,jonah,ch,0.9247202,Nope
319,jonah,ch,0.75384265,Nope
320,jonah,ch,0.98166704,Nope
321,jonah,ch,0.74646914,Nope
322,jonah,ch,0.9246068,Nope
323,jonah,ch,0.6383219,Nope
324,jonah,ch,0.9986266,Nope
325,jonah,ch,0.9988117,Nope
326,jonah,ch,0.9988808,Nope
327,jonah,ch,0.9988588,Nope
328,jonah,ch,0.99594444,Nope
329,jonah,ch,0.9481383,Nope
330,jonah,ch,0.98584324,Nope
331,jonah,ch,0.92444736,Nope
332,jonah,ch,0.99656373,Nope
333,jonah,ch,0.9121896,Nope
334,jonah,ch,0.6692377,Nope
335,jonah,cy,0.5590672,Nope
336,qikai,ch,0.9721252,Nope
337,qikai,ch,0.99891555,Nope
338,qikai,ch,0.998987,Nope
339,qikai,ch,0.8515116,Nope
340,qikai,ch,0.9988955,Nope
341,qikai,ch,0.99892694,Nope
342,qikai,ch,0.99894136,Nope
343,qikai,ch,0.99337655,Nope
344,qikai,ch,0.9754528,Nope
345,qikai,ch,0.99862933,Nope
346,qikai,ch,0.99515426,Nope
347,qikai,ch,0.98099947,Nope
348,qikai,ch,0.9870243,Nope
349,qikai,ch,0.9988834,Nope
350,qikai,ch,0.99622774,Nope
351,qikai,ch,0.9968178,Nope
352,qikai,ch,0.9988921,Nope
353,qikai,ch,0.99856466,Nope
354,qikai,ch,0.99800795,Nope
355,qikai,ch,0.9989507,Nope
356,qikai,ch,0.98029757,Nope
357,qikai,ch,0.99804,Nope
358,qikai,ch,0.9978752,Nope
359,qikai,ch,0.9895661,Nope
360,qikai,ch,0.99840313,Nope
361,qikai,ch,0.97849154,Nope
362,qikai,ch,0.98846996,Nope
363,qikai,ch,0.69964874,Nope
364,qikai,ch,0.802095,Nope
365,qikai,gerald,0.54507977,Nope
366,qikai,ch,0.9235354,Nope
367,qikai,ch,0.9982413,Nope
368,qikai,ch,0.9975994,Nope
369,qikai,ch,0.99894637,Nope
370,qikai,ch,0.99894696,Nope
371,qikai,ch,0.9989518,Nope
372,qikai,ch,0.9989606,Nope
373,qikai,ch,0.9968144,Nope
374,qikai,ch,0.9979639,Nope
375,qikai,ch,0.8350269,Nope
376,qikai,ch,0.8165096,Nope
377,qikai,ch,0.99895704,Nope
378,qikai,ch,0.9987233,Nope
379,qikai,ch,0.9988236,Nope
380,qikai,ch,0.99893636,Nope
381,qikai,ch,0.94677323,Nope
382,qikai,ch,0.8848692,Nope
383,qikai,ch,0.99830663,Nope
384,ys,ch,0.99875724,Nope
385,ys,ch,0.9989843,Nope
386,ys,ch,0.99898106,Nope
387,ys,ch,0.99898714,Nope
388,ys,ch,0.99814093,Nope
389,ys,ch,0.9989611,Nope
390,ys,ch,0.8338857,Nope
391,ys,ch,0.84933686,Nope
392,ys,ch,0.87733674,Nope
393,ys,ch,0.7864347,Nope
394,ys,ch,0.9695907,Nope
395,ys,ch,0.82091606,Nope
396,ys,ch,0.8387752,Nope
397,ys,gerald,0.9297297,Nope
398,ys,gerald,0.6281431,Nope
399,ys,gerald,0.78881234,Nope
400,ys,ch,0.7981155,Nope
401,ys,gerald,0.7434102,Nope
402,ys,ch,0.99896777,Nope
403,ys,ch,0.8144997,Nope
404,ys,ch,0.9766318,Nope
405,ys,ch,0.86664826,Nope
406,ys,ch,0.99582714,Nope
407,ys,ch,0.89125407,Nope
408,ys,ch,0.9987753,Nope
409,ys,ch,0.78924894,Nope
410,ys,ch,0.8290761,Nope
411,ys,ch,0.89574087,Nope
412,ys,ch,0.9812485,Nope
413,ys,ch,0.8694516,Nope
414,ys,ch,0.998412,Nope
415,ys,gerald,0.9793106,Nope
416,ys,ch,0.8193589,Nope
417,ys,ch,0.6454791,Nope
418,ys,gerald,0.6930126,Nope
419,ys,gerald,0.9532604,Nope
420,ys,ch,0.99868566,Nope
421,ys,ch,0.9982085,Nope
422,ys,ch,0.99897754,Nope
423,ys,ch,0.9989743,Nope
424,ys,ch,0.9989434,Nope
425,ys,ch,0.99898285,Nope
426,ys,ch,0.99895906,Nope
427,ys,gerald,0.50995225,Nope
428,ys,ch,0.88400394,Nope
429,ys,ch,0.8826727,Nope
430,ys,ch,0.96968406,Nope
431,ys,ch,0.7194596,Nope
432,zen,cy,0.9797751,Nope
433,zen,ch,0.9041982,Nope
434,zen,ch,0.7139766,Nope
435,zen,cy,0.83001524,Nope
436,zen,ch,0.8850019,Nope
437,zen,ch,0.9989273,Nope
438,zen,cy,0.9661167,Nope
439,zen,cy,0.70092523,Nope
440,zen,cy,0.7140913,Nope
441,zen,cy,0.9050787,Nope
442,zen,ch,0.6806943,Nope
443,zen,ch,0.99888307,Nope
444,zen,cy,0.93869203,Nope
445,zen,cy,0.889653,Nope
446,zen,cy,0.98736316,Nope
447,zen,cy,0.9919328,Nope
448,zen,cy,0.9819832,Nope
449,zen,cy,0.8998363,Nope
450,zen,ch,0.9459228,Nope
451,zen,ch,0.6853912,Nope
452,zen,cy,0.88619316,Nope
453,zen,cy,0.9483491,Nope
454,zen,cy,0.59436953,Nope
455,zen,ch,0.99813384,Nope
456,zen,ch,0.5359198,Nope
457,zen,cy,0.8192111,Nope
458,zen,cy,0.9937542,Nope
459,zen,cy,0.928303,Nope
460,zen,cy,0.91553354,Nope
461,zen,ch,0.9231341,Nope
462,zen,cy,0.8998162,Nope
463,zen,cy,0.93440896,Nope
464,zen,cy,0.9969349,Nope
465,zen,cy,0.9875426,Nope
466,zen,cy,0.9877351,Nope
467,zen,cy,0.52993035,Nope
468,zen,ch,0.7483203,Nope
469,zen,cy,0.5028002,Nope
470,zen,cy,0.9893384,Nope
471,zen,cy,0.8984838,Nope
472,zen,cy,0.9184276,Nope
473,zen,cy,0.9798135,Nope
474,zen,ch,0.9988985,Nope
475,zen,gerald,0.9600343,Nope
476,zen,cy,0.8844095,Nope
477,zen,ch,0.9983273,Nope
478,zen,ch,0.99822766,Nope
479,zen,ch,0.92343307,Nope
