,Results,Prediction,Accuracy,andy azfar cy 133/140
67,azfar,azfar,0.93738043,Match
68,azfar,cy,0.9852577,Nope
69,azfar,azfar,0.99919015,Match
70,azfar,azfar,0.69968253,Match
71,azfar,cy,0.74573666,Nope
72,azfar,azfar,0.9842135,Match
73,azfar,azfar,0.9964922,Match
74,azfar,azfar,0.9854417,Match
75,azfar,azfar,0.98543346,Match
76,azfar,azfar,0.99599683,Match
77,azfar,azfar,0.97503555,Match
78,azfar,azfar,0.98385715,Match
79,azfar,azfar,0.98401225,Match
80,azfar,azfar,0.98391056,Match
81,azfar,azfar,0.9843099,Match
82,azfar,azfar,0.9842944,Match
83,azfar,azfar,0.9840074,Match
84,azfar,azfar,0.98392546,Match
85,azfar,azfar,0.99109566,Match
86,azfar,azfar,0.98403776,Match
87,azfar,azfar,0.99354607,Match
88,azfar,azfar,0.8816952,Match
89,azfar,azfar,0.9991924,Match
90,azfar,azfar,0.98449796,Match
91,azfar,azfar,0.9850226,Match
92,azfar,azfar,0.982337,Match
93,azfar,azfar,0.9887044,Match
94,azfar,azfar,0.6588807,Match
95,azfar,azfar,0.99919444,Match
96,ch,cy,0.99906343,Nope
97,ch,cy,0.9932793,Nope
98,ch,cy,0.998676,Nope
99,ch,cy,0.9982235,Nope
100,ch,cy,0.9992561,Nope
101,ch,cy,0.9961802,Nope
102,ch,cy,0.9567773,Nope
103,ch,cy,0.9982609,Nope
104,ch,cy,0.99929285,Nope
105,ch,cy,0.999209,Nope
106,ch,cy,0.9942773,Nope
107,ch,cy,0.9471477,Nope
108,ch,cy,0.96112096,Nope
109,ch,cy,0.799903,Nope
110,ch,cy,0.9669807,Nope
111,ch,andy,0.78079695,Nope
112,ch,andy,0.9988642,Nope
113,ch,andy,0.9999893,Nope
114,ch,cy,0.9993192,Nope
115,ch,cy,0.9994215,Nope
116,ch,cy,0.99948066,Nope
117,ch,cy,0.9994344,Nope
118,ch,cy,0.9994624,Nope
119,ch,cy,0.999385,Nope
120,ch,cy,0.9978471,Nope
121,ch,cy,0.99938345,Nope
122,ch,cy,0.9930842,Nope
123,ch,cy,0.9994311,Nope
124,ch,cy,0.9990657,Nope
125,ch,cy,0.99431413,Nope
126,ch,cy,0.9931177,Nope
127,ch,cy,0.99929774,Nope
128,ch,cy,0.9113859,Nope
129,ch,cy,0.9993331,Nope
130,ch,cy,0.9648301,Nope
131,ch,cy,0.8434249,Nope
132,ch,cy,0.97696346,Nope
133,ch,cy,0.9834638,Nope
134,ch,andy,0.9824395,Nope
135,ch,cy,0.9993505,Nope
136,ch,cy,0.9984725,Nope
137,ch,cy,0.95093495,Nope
138,ch,cy,0.99932206,Nope
139,ch,cy,0.9406876,Nope
140,ch,andy,0.99998677,Nope
141,ch,cy,0.9994905,Nope
142,ch,cy,0.9930981,Nope
143,ch,cy,0.6685253,Nope
144,cy,cy,0.99856704,Match
145,cy,cy,0.9994747,Match
146,cy,cy,0.99949133,Match
147,cy,cy,0.99949753,Match
148,cy,cy,0.76353383,Match
149,cy,andy,0.55796397,Nope
150,cy,cy,0.7575557,Match
151,cy,cy,0.9993574,Match
152,cy,cy,0.9994493,Match
153,cy,cy,0.9994261,Match
154,cy,andy,0.9832306,Nope
155,cy,andy,0.99985445,Nope
156,cy,cy,0.9993886,Match
157,cy,cy,0.9991084,Match
158,cy,cy,0.99943763,Match
159,cy,cy,0.99946827,Match
160,cy,cy,0.9985361,Match
161,cy,cy,0.99920064,Match
162,cy,cy,0.9994671,Match
163,cy,cy,0.9986498,Match
164,cy,cy,0.99949765,Match
165,cy,cy,0.999498,Match
166,cy,cy,0.9993098,Match
167,cy,cy,0.9993641,Match
168,cy,cy,0.99933344,Match
169,cy,cy,0.9978383,Match
170,cy,cy,0.99510705,Match
171,cy,cy,0.99927574,Match
172,cy,cy,0.99777335,Match
173,cy,cy,0.9984596,Match
174,cy,cy,0.99951017,Match
175,cy,cy,0.9994906,Match
176,cy,cy,0.9993136,Match
177,cy,cy,0.99950814,Match
178,cy,cy,0.9994485,Match
179,cy,cy,0.99946934,Match
180,cy,cy,0.9596558,Match
181,cy,andy,0.5128952,Nope
182,cy,cy,0.99909437,Match
183,cy,cy,0.99947494,Match
184,cy,cy,0.9994785,Match
185,cy,cy,0.9994904,Match
186,cy,cy,0.76316667,Match
187,cy,andy,0.9977314,Nope
188,cy,cy,0.9988127,Match
189,cy,cy,0.9994741,Match
190,cy,cy,0.99947363,Match
191,cy,cy,0.99948454,Match
192,gerald,cy,0.9671715,Nope
193,gerald,andy,0.99997175,Nope
194,gerald,andy,0.99999714,Nope
195,gerald,andy,0.99996865,Nope
196,gerald,cy,0.99950504,Nope
197,gerald,andy,0.99998116,Nope
198,gerald,cy,0.88269854,Nope
199,gerald,andy,0.9999889,Nope
200,gerald,andy,0.9999976,Nope
201,gerald,andy,0.9999881,Nope
202,gerald,cy,0.9995018,Nope
203,gerald,andy,0.99999106,Nope
204,gerald,cy,0.9740012,Nope
205,gerald,cy,0.9598768,Nope
206,gerald,cy,0.9376981,Nope
207,gerald,cy,0.9877252,Nope
208,gerald,cy,0.9994684,Nope
209,gerald,cy,0.98712033,Nope
210,gerald,andy,0.99997175,Nope
211,gerald,andy,0.99998784,Nope
212,gerald,andy,0.99999523,Nope
213,gerald,andy,0.9821745,Nope
214,gerald,cy,0.99950504,Nope
215,gerald,andy,0.98602563,Nope
216,gerald,andy,0.99999726,Nope
217,gerald,andy,0.9999976,Nope
218,gerald,cy,0.6323756,Nope
219,gerald,andy,0.9999958,Nope
220,gerald,cy,0.99950314,Nope
221,gerald,andy,0.99999654,Nope
222,gerald,andy,0.99996555,Nope
223,gerald,andy,0.9999858,Nope
224,gerald,cy,0.99904794,Nope
225,gerald,andy,0.98127687,Nope
226,gerald,cy,0.99950457,Nope
227,gerald,andy,0.9826514,Nope
228,gerald,cy,0.99950135,Nope
229,gerald,cy,0.9994978,Nope
230,gerald,cy,0.99948585,Nope
231,gerald,cy,0.99950194,Nope
232,gerald,cy,0.99949765,Nope
233,gerald,cy,0.9994993,Nope
234,gerald,andy,0.9999821,Nope
235,gerald,andy,0.99999,Nope
236,gerald,cy,0.9928035,Nope
237,gerald,andy,0.99312323,Nope
238,gerald,andy,0.99999595,Nope
239,gerald,andy,0.98399734,Nope
240,jc,andy,0.99996245,Nope
241,jc,cy,0.98462635,Nope
242,jc,andy,0.99997675,Nope
243,jc,cy,0.99900776,Nope
244,jc,azfar,0.6110816,Nope
245,jc,cy,0.9880903,Nope
246,jc,cy,0.64936024,Nope
247,jc,cy,0.9958425,Nope
248,jc,azfar,0.53595227,Nope
249,jc,cy,0.9991284,Nope
250,jc,azfar,0.52344656,Nope
251,jc,cy,0.99291867,Nope
252,jc,andy,0.99996746,Nope
253,jc,andy,0.76272476,Nope
254,jc,andy,0.99996006,Nope
255,jc,cy,0.99922574,Nope
256,jc,cy,0.5261864,Nope
257,jc,cy,0.9981115,Nope
258,jc,cy,0.9987955,Nope
259,jc,cy,0.9993642,Nope
260,jc,cy,0.9987464,Nope
261,jc,cy,0.99938345,Nope
262,jc,cy,0.9988274,Nope
263,jc,cy,0.9994461,Nope
264,jc,andy,0.9999708,Nope
265,jc,andy,0.75573605,Nope
266,jc,andy,0.99990845,Nope
267,jc,cy,0.993061,Nope
268,jc,cy,0.5513235,Nope
269,jc,cy,0.99205244,Nope
270,jc,cy,0.99945456,Nope
271,jc,cy,0.9994605,Nope
272,jc,cy,0.9994598,Nope
273,jc,cy,0.999461,Nope
274,jc,cy,0.9994599,Nope
275,jc,cy,0.9994759,Nope
276,jc,cy,0.9987268,Nope
277,jc,cy,0.99931836,Nope
278,jc,cy,0.9993761,Nope
279,jc,cy,0.9994191,Nope
280,jc,cy,0.998495,Nope
281,jc,cy,0.9992494,Nope
282,jc,cy,0.9993772,Nope
283,jc,cy,0.99944407,Nope
284,jc,cy,0.99940765,Nope
285,jc,cy,0.99947566,Nope
286,jc,cy,0.99937755,Nope
287,jc,cy,0.9994326,Nope
288,jonah,andy,0.4974392,Nope
289,jonah,cy,0.73410386,Nope
290,jonah,cy,0.41261125,Nope
291,jonah,cy,0.83479404,Nope
292,jonah,cy,0.76687086,Nope
293,jonah,cy,0.77120113,Nope
294,jonah,cy,0.72060627,Nope
295,jonah,cy,0.99823534,Nope
296,jonah,azfar,0.580486,Nope
297,jonah,cy,0.99476916,Nope
298,jonah,cy,0.9937349,Nope
299,jonah,cy,0.8887894,Nope
300,jonah,andy,0.8577835,Nope
301,jonah,cy,0.7756373,Nope
302,jonah,andy,0.9999815,Nope
303,jonah,andy,0.9999416,Nope
304,jonah,andy,0.99997437,Nope
305,jonah,andy,0.99996567,Nope
306,jonah,andy,0.82215035,Nope
307,jonah,cy,0.5871087,Nope
308,jonah,andy,0.9999621,Nope
309,jonah,andy,0.9996507,Nope
310,jonah,andy,0.99995255,Nope
311,jonah,andy,0.99986875,Nope
312,jonah,andy,0.6113396,Nope
313,jonah,azfar,0.8990148,Nope
314,jonah,andy,0.99997985,Nope
315,jonah,andy,0.999974,Nope
316,jonah,andy,0.99997056,Nope
317,jonah,andy,0.99992776,Nope
318,jonah,andy,0.61686105,Nope
319,jonah,azfar,0.7328774,Nope
320,jonah,andy,0.9999683,Nope
321,jonah,andy,0.9999279,Nope
322,jonah,andy,0.9998534,Nope
323,jonah,andy,0.9998086,Nope
324,jonah,andy,0.8055868,Nope
325,jonah,cy,0.9368278,Nope
326,jonah,andy,0.9999746,Nope
327,jonah,andy,0.9999509,Nope
328,jonah,andy,0.9999652,Nope
329,jonah,andy,0.9991128,Nope
330,jonah,azfar,0.5617151,Nope
331,jonah,azfar,0.6990925,Nope
332,jonah,andy,0.999928,Nope
333,jonah,andy,0.99976057,Nope
334,jonah,andy,0.9998006,Nope
335,jonah,andy,0.99708074,Nope
336,qikai,andy,0.9999913,Nope
337,qikai,andy,0.99999785,Nope
338,qikai,cy,0.9994178,Nope
339,qikai,andy,0.99999523,Nope
340,qikai,andy,0.99998593,Nope
341,qikai,andy,0.99999714,Nope
342,qikai,andy,0.787251,Nope
343,qikai,andy,0.99995065,Nope
344,qikai,cy,0.99943703,Nope
345,qikai,andy,0.8276067,Nope
346,qikai,cy,0.5196808,Nope
347,qikai,andy,0.9808637,Nope
348,qikai,andy,0.99998856,Nope
349,qikai,andy,0.8436535,Nope
350,qikai,cy,0.99935764,Nope
351,qikai,andy,0.99996424,Nope
352,qikai,andy,0.98792404,Nope
353,qikai,andy,0.9999858,Nope
354,qikai,andy,0.9999976,Nope
355,qikai,andy,0.9999685,Nope
356,qikai,cy,0.99945825,Nope
357,qikai,andy,0.99999654,Nope
358,qikai,andy,0.9999902,Nope
359,qikai,andy,0.9999974,Nope
360,qikai,cy,0.9994567,Nope
361,qikai,cy,0.9994832,Nope
362,qikai,cy,0.99946696,Nope
363,qikai,cy,0.99943775,Nope
364,qikai,cy,0.99947065,Nope
365,qikai,cy,0.9994229,Nope
366,qikai,andy,0.99999225,Nope
367,qikai,andy,0.96417356,Nope
368,qikai,andy,0.99994886,Nope
369,qikai,andy,0.99999654,Nope
370,qikai,andy,0.9991763,Nope
371,qikai,andy,0.99998915,Nope
372,qikai,andy,0.9999753,Nope
373,qikai,cy,0.5290542,Nope
374,qikai,andy,0.98062676,Nope
375,qikai,andy,0.9999895,Nope
376,qikai,cy,0.99941266,Nope
377,qikai,andy,0.9967687,Nope
378,qikai,andy,0.9999968,Nope
379,qikai,andy,0.9822191,Nope
380,qikai,andy,0.9999839,Nope
381,qikai,andy,0.9999975,Nope
382,qikai,cy,0.9994531,Nope
383,qikai,andy,0.9999889,Nope
384,ys,cy,0.97620595,Nope
385,ys,cy,0.9993585,Nope
386,ys,cy,0.9993612,Nope
387,ys,cy,0.9960962,Nope
388,ys,cy,0.9994741,Nope
389,ys,cy,0.9993369,Nope
390,ys,azfar,0.57353973,Nope
391,ys,cy,0.9985903,Nope
392,ys,cy,0.9896423,Nope
393,ys,cy,0.8537322,Nope
394,ys,andy,0.8149036,Nope
395,ys,cy,0.8006049,Nope
396,ys,cy,0.9952892,Nope
397,ys,cy,0.99934906,Nope
398,ys,cy,0.99932563,Nope
399,ys,cy,0.9897742,Nope
400,ys,cy,0.9994566,Nope
401,ys,cy,0.9992724,Nope
402,ys,cy,0.99076873,Nope
403,ys,cy,0.9990171,Nope
404,ys,cy,0.9974904,Nope
405,ys,cy,0.53241825,Nope
406,ys,cy,0.9986451,Nope
407,ys,cy,0.9952427,Nope
408,ys,cy,0.96151346,Nope
409,ys,cy,0.97476894,Nope
410,ys,azfar,0.77223647,Nope
411,ys,cy,0.9759378,Nope
412,ys,cy,0.958104,Nope
413,ys,cy,0.9780255,Nope
414,ys,azfar,0.5360154,Nope
415,ys,cy,0.96475637,Nope
416,ys,azfar,0.9153339,Nope
417,ys,cy,0.6223687,Nope
418,ys,cy,0.9423676,Nope
419,ys,cy,0.5308987,Nope
420,ys,cy,0.9994673,Nope
421,ys,andy,0.98123115,Nope
422,ys,cy,0.9992536,Nope
423,ys,cy,0.98469836,Nope
424,ys,cy,0.8327438,Nope
425,ys,cy,0.5892942,Nope
426,ys,cy,0.9747151,Nope
427,ys,cy,0.7909757,Nope
428,ys,azfar,0.809292,Nope
429,ys,cy,0.9898128,Nope
430,ys,cy,0.99618536,Nope
431,ys,azfar,0.622967,Nope
432,zen,cy,0.72311145,Nope
433,zen,cy,0.99944574,Nope
434,zen,cy,0.99938273,Nope
435,zen,cy,0.9993818,Nope
436,zen,cy,0.99944574,Nope
437,zen,cy,0.7748408,Nope
438,zen,azfar,0.8328945,Nope
439,zen,cy,0.9992906,Nope
440,zen,cy,0.9982236,Nope
441,zen,cy,0.99866533,Nope
442,zen,cy,0.99902296,Nope
443,zen,azfar,0.92026484,Nope
444,zen,cy,0.99943346,Nope
445,zen,cy,0.99941576,Nope
446,zen,cy,0.999443,Nope
447,zen,cy,0.9994429,Nope
448,zen,cy,0.9994815,Nope
449,zen,cy,0.9993612,Nope
450,zen,cy,0.99557316,Nope
451,zen,cy,0.9828839,Nope
452,zen,cy,0.99916124,Nope
453,zen,cy,0.9971802,Nope
454,zen,cy,0.9993944,Nope
455,zen,azfar,0.8760909,Nope
456,zen,cy,0.8722373,Nope
457,zen,azfar,0.6267106,Nope
458,zen,cy,0.9085211,Nope
459,zen,cy,0.9994128,Nope
460,zen,cy,0.99936765,Nope
461,zen,azfar,0.95814997,Nope
462,zen,cy,0.573142,Nope
463,zen,azfar,0.6409542,Nope
464,zen,cy,0.71961856,Nope
465,zen,cy,0.99929225,Nope
466,zen,cy,0.9992662,Nope
467,zen,azfar,0.93867,Nope
468,zen,cy,0.99947363,Nope
469,zen,cy,0.9994535,Nope
470,zen,cy,0.99913955,Nope
471,zen,cy,0.99948275,Nope
472,zen,cy,0.9994617,Nope
473,zen,cy,0.9993799,Nope
474,zen,azfar,0.9105199,Nope
475,zen,azfar,0.93710566,Nope
476,zen,azfar,0.9673843,Nope
477,zen,cy,0.9966365,Nope
478,zen,cy,0.92392594,Nope
479,zen,cy,0.9252946,Nope
